variables = x, rho_A, u_A, p_A, e_A, et_A, T_A, c_A, M_A, h_A, rho_LaxD, u_LaxD, p_LaxD, mo_LaxD, e_LaxD, et_LaxD, T_LaxD, c_LaxD, M_LaxD, h_LaxD, rho_LaxH, u_LaxH, p_LaxH, mo_LaxH, e_LaxH, et_LaxH, T_LaxH, c_LaxH, M_LaxH, h_LaxH, rho_RoeD, u_RoeD, p_RoeD, mo_RoeD, e_RoeD, et_RoeD, T_RoeD, c_RoeD, M_RoeD, h_RoeD, rho_RoeH, u_RoeH, p_RoeH, mo_RoeH, e_RoeH, et_RoeH, T_RoeH, c_RoeH, M_RoeH, h_RoeH
0,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.003921569,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.007843137,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.011764706,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.015686275,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.019607843,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.023529412,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.02745098,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.031372549,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.035294118,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.039215686,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.043137255,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.047058824,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.050980392,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.054901961,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.058823529,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.062745098,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.066666667,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.070588235,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.074509804,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.078431373,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.082352941,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.08627451,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.090196078,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.094117647,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.098039216,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.101960784,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.105882353,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.109803922,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.11372549,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.117647059,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.121568627,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.125490196,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.129411765,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.133333333,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,7.44E-18,1,7.44E-18,2.5,2.5,1,1.18322,6.29E-18,3.5,1,7.44333E-18,1,7.44333E-18,2.5,2.5,1,1.18322,6.29077E-18,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.137254902,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,9.39E-17,1,9.39E-17,2.5,2.5,1,1.18322,7.93E-17,3.5,1,9.38513E-17,1,9.38513E-17,2.5,2.5,1,1.18322,7.93188E-17,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.141176471,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,6.52E-16,1,6.52E-16,2.5,2.5,1,1.18322,5.51E-16,3.5,1,6.52449E-16,1,6.52449E-16,2.5,2.5,1,1.18322,5.5142E-16,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.145098039,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,3.34E-15,1,3.34E-15,2.5,2.5,1,1.18322,2.82E-15,3.5,1,3.3374E-15,1,3.3374E-15,2.5,2.5,1,1.18322,2.82062E-15,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
0.149019608,1,0,1,2.5,2.5,1,1.183215957,0,3.5,1,1.58E-14,1,1.58E-14,2.5,2.5,1,1.18322,1.34E-14,3.5,1,1.58078E-14,1,1.58078E-14,2.5,2.5,1,1.18322,1.336E-14,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5,1,0,1,0,2.5,2.5,1,1.18322,0,3.5
